CUSTOM.updateTime,CUSTOM.isPhoto,CUSTOM.isVideo,CUSTOM.hSpeed [m/s],CUSTOM.distance [m],CUSTOM.travelled [m],CUSTOM.hSpeed.running_max [m/s],CALC.hSpeed [m/s],CALC.distance [m],CALC.travelled [m],CALC.distance.running_max [m],CALC.height.running_max [m],OSD.latitude,OSD.longitude,OSD.height [m],OSD.altitude [m],OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.pitch,OSD.roll,OSD.yaw,OSD.flycState,OSD.flycState.RAW,OSD.flycCommand,OSD.flycCommand.RAW,OSD.canIOCWork,OSD.groundOrSky,OSD.isMotorUp,OSD.isSwaveWork,OSD.goHomeStatus,OSD.goHomeStatus.RAW,OSD.isImuPreheated,OSD.isVisionUsed,OSD.voltageWarning,OSD.modeChannel,OSD.isGPSused,OSD.compassError,OSD.waveError,OSD.gpsLevel,OSD.batteryType,OSD.isAcceletorOverRange,OSD.isVibrating,OSD.isBarometerDeadInAir,OSD.isMotorBlocked,OSD.isNotEnoughForce,OSD.isPropellerCatapult,OSD.isGoHomeHeightModified,OSD.isOutOfLimit,OSD.gpsNum,OSD.flightAction,OSD.flightAction.RAW,OSD.motorStartFailedCause,OSD.motorStartFailedCause.RAW,OSD.nonGPSCause,OSD.nonGPSCause.RAW,OSD.isQuickSpin,OSD.battery,OSD.sWaveHeight [m],OSD.flyTime [s],OSD.motorRevolution,OSD.flycVersion,OSD.droneType,OSD.imuInitFailReason,OSD.imuInitFailReason.RAW,OSD.motorFailReason,OSD.motorFailReason.RAW,OSD.ctrlDevice,OSD.ctrlDevice.RAW,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.mode,GIMBAL.mode.RAW,GIMBAL.rollAdjust,GIMBAL.pitchAdjust,GIMBAL.yawAngle,GIMBAL.isAutoCalibration,GIMBAL.autoCalibrationResult,GIMBAL.isPitchInLimit,GIMBAL.isRollInLimit,GIMBAL.isYawInLimit,GIMBAL.isTopPosition,GIMBAL.isStuck,GIMBAL.version,GIMBAL.isSingleClick,GIMBAL.isDoubleClick,GIMBAL.isTripleClick,GIMBAL.timeStamp,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.gimbal,RC.goHome,RC.mode,RC.isWheelChanged,RC.wheelOffset,RC.wheelClick,RC.record,RC.shutter,RC.playback,RC.custom1,RC.custom2,RC.bandwidth,CENTER_BATTERY.relativeCapacity,CENTER_BATTERY.currentPV [V],CENTER_BATTERY.currentCapacity [mAh],CENTER_BATTERY.fullCapacity [mAh],CENTER_BATTERY.life,CENTER_BATTERY.loopNum,CENTER_BATTERY.errorType,CENTER_BATTERY.current [A],CENTER_BATTERY.voltageCell1 [V],CENTER_BATTERY.voltageCell2 [V],CENTER_BATTERY.voltageCell3 [V],CENTER_BATTERY.voltageCell4 [V],CENTER_BATTERY.voltageCell5 [V],CENTER_BATTERY.voltageCell6 [V],CENTER_BATTERY.serialNo,CENTER_BATTERY.productDate,CENTER_BATTERY.temperature [C],CENTER_BATTERY.connStatus,CENTER_BATTERY.totalStudyCycle,CENTER_BATTERY.lastStudyCycle,CENTER_BATTERY.isNeedStudy,CENTER_BATTERY.isBatteryOnCharge,SMART_BATTERY.usefulTime [s],SMART_BATTERY.goHomeTime [s],SMART_BATTERY.landTime [s],SMART_BATTERY.goHomeBattery,SMART_BATTERY.landBattery,SMART_BATTERY.safeFlyRadius,SMART_BATTERY.volumeConsume,SMART_BATTERY.status,SMART_BATTERY.status.RAW,SMART_BATTERY.goHomeStatus,SMART_BATTERY.goHomeStatus.RAW,SMART_BATTERY.goHomeCountdown,SMART_BATTERY.voltage [V],SMART_BATTERY.battery,SMART_BATTERY.lowWarning,SMART_BATTERY.lowWarningGoHome,SMART_BATTERY.seriousLowWarning,SMART_BATTERY.seriousLowWarningLanding,SMART_BATTERY.voltagePercent,DEFORM.isDeformProtected,DEFORM.isExceptionState,DEFORM.deformStatus,DEFORM.deformStatus.RAW,DEFORM.deformMode,DEFORM.deformMode.RAW,RC_GPS.startupTime,RC_GPS.latitude,RC_GPS.longitude,RC_GPS.xSpeed [m/s],RC_GPS.ySpeed [m/s],RC_GPS.gpsNum,RC_GPS.accuracy,RC_GPS.gpsStatus,CAMERA_INFO.connectState,CAMERA_INFO.usbState,CAMERA_INFO.timeSyncState,CAMERA_INFO.photoState,CAMERA_INFO.recordState,CAMERA_INFO.sensorState,CAMERA_INFO.sdCardInsertState,CAMERA_INFO.sdCardState,CAMERA_INFO.firmUpgradeState,CAMERA_INFO.firmErrorType,CAMERA_INFO.hotState,CAMERA_INFO.enabledPhoto,CAMERA_INFO.isStoring,CAMERA_INFO.isTimePhotoing,CAMERA_INFO.encryptStatus,CAMERA_INFO.mode,CAMERA_INFO.sdCardTotalSize,CAMERA_INFO.sdCardFreeSize,CAMERA_INFO.remainedShots,CAMERA_INFO.remainedTime,CAMERA_INFO.videoRecordTime,CAMERA_INFO.cameraType,CAMERA_INFO.version,MC_PARAM.failSafeAction,MC_PARAM.OAenabled,MC_PARAM.VPSenabled,MC_PARAM.rthOAenabled,HOME.latitude,HOME.longitude,HOME.height [m],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isMultipleModeOpen,HOME.goHomeStatus,HOME.hasGoHome,HOME.compassCeleStatus,HOME.isCompassCeleing,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [m],HOME.courseLockAngle,HOME.dataRecorderStatus,HOME.dataRecorderRemainCapacity,HOME.dataRecorderRemainTime,HOME.dataRecorderFileIndex,HOME.isFlycInSimulationMode,HOME.isFlycInNavigationMode,HOME.isWingBroken,HOME.isBigGale,HOME.isBigGaleWarning,HOME.isCompassInstallErr,HOME.isFanCurrentInAbnormalState,HOME.paddleState,HOME.heightLimitStatus,HOME.useAbsoluteHeight,HOME.motor1EscmState,HOME.motor2EscmState,HOME.motor3EscmState,HOME.motor4EscmState,HOME.motor5EscmState,HOME.motor6EscmState,HOME.motor7EscmState,HOME.motor8EscmState,HOME.forceLandingHeight [m],RECOVER.droneType,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftSnBytes,RECOVER.aircraftName,RECOVER.activeTimestamp,RECOVER.cameraSn,RECOVER.rcSn,RECOVER.batterySn,RECOVER.gimbalType,FIRMWARE.version,DETAILS.street,DETAILS.citypart,DETAILS.city,DETAILS.area,DETAILS.isFavorite,DETAILS.isNew,DETAILS.needUpload,DETAILS.recordLineCount,DETAILS.timestamp,DETAILS.latitude,DETAILS.longitude,DETAILS.totalDistance [m],DETAILS.totalTime [s],DETAILS.maxHeight [m],DETAILS.maxHorizontalSpeed [m/s],DETAILS.maxVerticalSpeed [m/s],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.takeOffAltitude [m],DETAILS.droneType,DETAILS.activeTimestamp,DETAILS.aircraftName,DETAILS.aircraftSnBytes,DETAILS.cameraSn,DETAILS.rcSn,DETAILS.batterySn,DETAILS.appType,DETAILS.appVersion,APP_GPS.latitude,APP_GPS.longitude,APP_GPS.accuracy,APP_TIP.tip,APP_WARN.warn,APP_SER_WARN.warn
2019/08/30 17:47:13.466,,,0,0,,0,0,0,,0,0,24.013433,-104.68287,0,1866.6,0,0,0,0.6,0.4,97.1,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,4,Smart,False,False,False,False,False,False,False,False,11,WP_AutoTakeoff,24,None,0,Already,0,False,0,0.1,0,1,28,P4,MonitorError,0,,0,App,1,0,0,96.8,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,102574,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,No,No,0,1,ToFormat,0,No,0,0,0,0,CheckSuccess,TakePhoto,14767,14666,3003,2050,0,FC330X,7,GoHome,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,iOS,4.10.0,07JDD2H00100J7,alisdron,2016/12/03 19:17:33,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,Timeout,,,,,,2,1,1,1706,2019/08/30 17:47:13.465,24.013433,-104.68287,405.87,176,90.2,8.52,3.2,5,0,1866.58,P4,2016/12/03 19:17:33,alisdron,07JDD2H00100J7,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,iOS,4.10.0,,,,,,
2019/08/30 17:47:13.570,,,0,,0,0,0,0,0,0,0,24.013433,-104.68287,0,1866.6,0,0,0,0.6,0.4,97.1,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,4,Smart,False,False,False,False,False,False,False,False,11,WP_AutoTakeoff,24,None,0,Already,0,False,0,0.1,0.1,1,28,P4,MonitorError,0,,0,App,1,0,0,96.8,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,102674,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,No,No,0,1,ToFormat,0,No,0,0,0,0,CheckSuccess,TakePhoto,14767,14666,3003,2050,0,FC330X,7,GoHome,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,iOS,4.10.0,07JDD2H00100J7,alisdron,2016/12/03 19:17:33,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,Timeout,,,,,,2,1,1,1706,2019/08/30 17:47:13.465,24.013433,-104.68287,405.87,176,90.2,8.52,3.2,5,0,1866.58,P4,2016/12/03 19:17:33,alisdron,07JDD2H00100J7,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,iOS,4.10.0,,,,,,
2019/08/30 17:47:13.675,,,0,,0,0,0.04,0,0.01,0,0,24.013433,-104.68287,0,1866.6,0,0,0,0.6,0.3,97.1,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,4,Smart,False,False,False,False,False,False,False,False,11,WP_AutoTakeoff,24,None,0,Already,0,False,0,0.1,0.2,1,28,P4,MonitorError,0,,0,App,1,0,0,96.8,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,102774,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,No,No,0,1,ToFormat,0,No,0,0,0,0,CheckSuccess,TakePhoto,14767,14666,3003,2050,0,FC330X,7,GoHome,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,iOS,4.10.0,07JDD2H00100J7,alisdron,2016/12/03 19:17:33,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,Timeout,,,,,,2,1,1,1706,2019/08/30 17:47:13.465,24.013433,-104.68287,405.87,176,90.2,8.52,3.2,5,0,1866.58,P4,2016/12/03 19:17:33,alisdron,07JDD2H00100J7,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,iOS,4.10.0,,,,,,
2019/08/30 17:47:13.780,,,0,,0.01,0,0.03,0,0.01,0,0,24.013433,-104.68287,0,1866.6,0,0,0,0.6,0.3,97.2,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,4,Smart,False,False,False,False,False,False,False,False,11,WP_AutoTakeoff,24,None,0,Already,0,False,0,0.1,0.3,1,28,P4,MonitorError,0,,0,App,1,0,0,96.8,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,102874,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,0,99,17.138,6074,6136,0,2,0,1.174,4.297,4.296,4.291,4.283,,0,0,1980/00/00,28.95,Normal,0,0,False,,0,0,0,0,0,0,1170.362,None,0,NonGoHome,0,0,17.122,99,30,False,15,True,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,ToFormat,0,No,0,0,0,0,CheckSuccess,TakePhoto,14767,14666,3003,2050,0,FC330X,7,GoHome,False,True,False,24.013434,-104.682855,1866.58,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,90,169.5,0,19,0,287,False,True,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,P4,iOS,4.10.0,07JDD2H00100J7,alisdron,2016/12/03 19:17:33,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,Timeout,,,,,,2,1,1,1706,2019/08/30 17:47:13.465,24.013433,-104.68287,405.87,176,90.2,8.52,3.2,5,0,1866.58,P4,2016/12/03 19:17:33,alisdron,07JDD2H00100J7,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,iOS,4.10.0,,,,,,
2019/08/30 17:47:13.882,,,0,,0.01,0,0.03,1.54,0.01,1.54,0,24.013433,-104.68287,0,1866.6,0,0,0,0.6,0.4,97.2,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,4,Smart,False,False,False,False,False,False,False,False,11,WP_AutoTakeoff,24,None,0,Already,0,False,0,0.1,0.4,1,28,P4,MonitorError,0,,0,App,1,0,0,96.8,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,102976,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,0,99,17.138,6074,6136,0,2,0,1.174,4.297,4.296,4.291,4.283,,0,0,1980/00/00,28.95,Normal,0,0,False,,0,0,0,0,0,0,1170.362,None,0,NonGoHome,0,0,17.122,99,30,False,15,True,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,ToFormat,0,No,0,0,0,0,CheckSuccess,TakePhoto,14767,14666,3003,2050,0,FC330X,7,GoHome,False,True,False,24.013434,-104.682855,1866.58,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,90,169.5,0,19,0,287,False,True,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,P4,iOS,4.10.0,07JDD2H00100J7,alisdron,2016/12/03 19:17:33,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,Timeout,,,,,,2,1,1,1706,2019/08/30 17:47:13.465,24.013433,-104.68287,405.87,176,90.2,8.52,3.2,5,0,1866.58,P4,2016/12/03 19:17:33,alisdron,07JDD2H00100J7,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,iOS,4.10.0,,,,,,
2019/08/30 17:47:13.983,,,0,,0.01,0,0.02,1.54,0.02,1.54,0,24.013433,-104.68287,0,1866.6,0,0,0,0.6,0.3,97.2,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,4,Smart,False,False,False,False,False,False,False,False,11,WP_AutoTakeoff,24,None,0,Already,0,False,0,0.1,0.5,1,28,P4,MonitorError,0,,0,App,1,0,0,96.8,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,103075,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,0,99,17.138,6074,6136,0,2,0,1.174,4.297,4.296,4.291,4.283,,0,0,1980/00/00,28.95,Normal,0,0,False,,0,0,0,0,0,0,1170.362,None,0,NonGoHome,0,0,17.122,99,30,False,15,True,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,ToFormat,0,No,0,0,0,0,CheckSuccess,TakePhoto,14767,14666,3003,2050,0,FC330X,7,GoHome,False,True,False,24.013434,-104.682855,1866.58,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,90,169.5,0,19,0,287,False,True,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,P4,iOS,4.10.0,07JDD2H00100J7,alisdron,2016/12/03 19:17:33,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,Timeout,,,,,,2,1,1,1706,2019/08/30 17:47:13.465,24.013433,-104.68287,405.87,176,90.2,8.52,3.2,5,0,1866.58,P4,2016/12/03 19:17:33,alisdron,07JDD2H00100J7,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,iOS,4.10.0,,,,,,
2019/08/30 17:47:14.085,,,0,,0.02,0,0.04,1.54,0.02,1.54,0,24.013433,-104.68287,0,1866.6,0,0,0,0.6,0.3,97.2,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,4,Smart,False,False,False,False,False,False,False,False,11,WP_AutoTakeoff,24,None,0,Already,0,False,0,0.1,0.6,1,28,P4,MonitorError,0,,0,App,1,0,0,96.8,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,103175,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,0,99,17.138,6074,6136,0,2,0,1.174,4.297,4.296,4.291,4.283,,0,0,1980/00/00,28.95,Normal,0,0,False,,0,0,0,0,0,0,1170.362,None,0,NonGoHome,0,0,17.122,99,30,False,15,True,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,ToFormat,0,No,0,0,0,0,CheckSuccess,TakePhoto,14767,14666,3003,2050,0,FC330X,7,GoHome,False,True,False,24.013434,-104.682855,1866.58,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,90,169.5,0,19,0,287,False,True,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,P4,iOS,4.10.0,07JDD2H00100J7,alisdron,2016/12/03 19:17:33,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,Timeout,,,,,,2,1,1,1706,2019/08/30 17:47:13.465,24.013433,-104.68287,405.87,176,90.2,8.52,3.2,5,0,1866.58,P4,2016/12/03 19:17:33,alisdron,07JDD2H00100J7,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,iOS,4.10.0,,,,,,
2019/08/30 17:47:14.187,,,0,,0.02,0,0.03,1.54,0.02,1.54,0,24.013433,-104.68287,0,1866.6,0,0,0,0.6,0.3,97.2,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,4,Smart,False,False,False,False,False,False,False,False,11,WP_AutoTakeoff,24,None,0,Already,0,False,0,0.1,0.7,1,28,P4,MonitorError,0,,0,App,1,0,0,96.8,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,103276,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,0,99,17.138,6074,6136,0,2,0,1.174,4.297,4.296,4.291,4.283,,0,0,1980/00/00,28.95,Normal,0,0,False,,0,0,0,0,0,0,1170.362,None,0,NonGoHome,0,0,17.122,99,30,False,15,True,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,ToFormat,0,No,0,0,0,0,CheckSuccess,TakePhoto,14767,14666,3003,2050,0,FC330X,7,GoHome,False,True,False,24.013434,-104.682855,1866.58,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,90,169.5,0,19,0,287,False,True,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,P4,iOS,4.10.0,07JDD2H00100J7,alisdron,2016/12/03 19:17:33,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,Timeout,,,,,,2,1,1,1706,2019/08/30 17:47:13.465,24.013433,-104.68287,405.87,176,90.2,8.52,3.2,5,0,1866.58,P4,2016/12/03 19:17:33,alisdron,07JDD2H00100J7,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,iOS,4.10.0,,,,,,
2019/08/30 17:47:14.291,,,0,,0.02,0,0.03,1.53,0.03,1.54,0,24.013433,-104.68287,0,1866.6,0,0,0,0.6,0.3,97.2,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,4,Smart,False,False,False,False,False,False,False,False,11,WP_AutoTakeoff,24,None,0,Already,0,False,0,0.1,0.8,1,28,P4,MonitorError,0,,0,App,1,0,0,96.8,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,103377,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,0,99,17.138,6074,6136,0,2,0,1.174,4.297,4.296,4.291,4.283,,0,0,1980/00/00,28.95,Normal,0,0,False,,0,0,0,0,0,0,1170.362,None,0,NonGoHome,0,0,17.122,99,30,False,15,True,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,ToFormat,0,No,0,0,0,0,CheckSuccess,TakePhoto,14767,14666,3003,2050,0,FC330X,7,GoHome,False,True,False,24.013434,-104.682855,1866.58,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,90,169.5,0,19,0,287,False,True,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,P4,iOS,4.10.0,07JDD2H00100J7,alisdron,2016/12/03 19:17:33,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,Timeout,,,,,,2,1,1,1706,2019/08/30 17:47:13.465,24.013433,-104.68287,405.87,176,90.2,8.52,3.2,5,0,1866.58,P4,2016/12/03 19:17:33,alisdron,07JDD2H00100J7,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,iOS,4.10.0,,,,,,
2019/08/30 17:47:14.392,,,0,,0.03,0,0.03,1.53,0.03,1.54,0,24.013433,-104.68287,0,1866.6,0,0,0,0.6,0.3,97.2,EngineStart,41,Other,0,True,Ground,True,True,Standby,0,True,False,0,P,True,False,False,4,Smart,False,False,False,False,False,False,False,False,11,WP_AutoTakeoff,24,None,0,Already,0,False,0,0.1,0.9,1,28,P4,MonitorError,0,,0,App,1,0,0,96.8,YawFollow,2,0,0,0,False,0,False,False,False,False,False,1,False,False,False,103477,0,0,0,0,0,0,P,False,0,0,0,0,0,0,0,0,99,17.138,6074,6136,0,2,0,1.174,4.297,4.296,4.291,4.283,,0,0,1980/00/00,28.95,Normal,0,0,False,,0,0,0,0,0,0,1170.362,None,0,NonGoHome,0,0,17.122,99,30,False,15,True,0,,,,,,,,,,,,,,,1,0,1,No,No,0,1,ToFormat,0,No,0,0,0,0,CheckSuccess,TakePhoto,14767,14666,3003,2050,0,FC330X,7,GoHome,False,True,False,24.013434,-104.682855,1866.58,True,1,1,False,False,False,True,4,False,0,False,False,False,CourseLock,90,169.5,0,19,0,287,False,True,False,False,False,False,False,Normal,NonLimit,False,MotorOff,MotorOff,MotorOff,MotorOff,NonConnect,NonConnect,NonConnect,NonConnect,3,P4,iOS,4.10.0,07JDD2H00100J7,alisdron,2016/12/03 19:17:33,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,Timeout,,,,,,2,1,1,1706,2019/08/30 17:47:13.465,24.013433,-104.68287,405.87,176,90.2,8.52,3.2,5,0,1866.58,P4,2016/12/03 19:17:33,alisdron,07JDD2H00100J7,07RDD6D0S400D0,078JA71180,0DQAE6203202MR,iOS,4.10.0,,,,,,
